report_date,borough,community_districts,family_with_children_commercial_hotel,family_with_children_shelter,family_cluster
2025-08-31,Manhattan,8.0,524.0,,
2025-08-31,Bronx,1.0,213.0,1447.0,
2025-08-31,Manhattan,7.0,947.0,365.0,
2025-08-31,Manhattan,6.0,251.0,587.0,
2025-08-31,Manhattan,5.0,2426.0,368.0,
2025-08-31,Manhattan,4.0,1119.0,370.0,
2025-08-31,Manhattan,3.0,93.0,87.0,
2025-08-31,Manhattan,2.0,302.0,,
2025-08-31,Manhattan,1.0,496.0,,
2025-08-31,Brooklyn,18.0,287.0,811.0,
2025-08-31,Brooklyn,17.0,139.0,1608.0,
2025-08-31,Brooklyn,16.0,526.0,2267.0,
2025-08-31,Brooklyn,15.0,388.0,178.0,
2025-08-31,Brooklyn,14.0,168.0,87.0,
2025-08-31,Brooklyn,13.0,,363.0,
2025-08-31,Brooklyn,11.0,,,
2025-08-31,Brooklyn,10.0,,,
2025-08-31,Brooklyn,9.0,,360.0,
2025-08-31,Brooklyn,8.0,,542.0,
2025-08-31,Brooklyn,7.0,267.0,371.0,
2025-08-31,Brooklyn,6.0,307.0,489.0,
2025-08-31,Brooklyn,5.0,650.0,830.0,
2025-08-31,Brooklyn,4.0,30.0,813.0,
2025-08-31,Brooklyn,3.0,425.0,386.0,
2025-08-31,Brooklyn,2.0,,75.0,
2025-08-31,Brooklyn,1.0,480.0,,
2025-08-31,Bronx,9.0,263.0,1511.0,
2025-08-31,Bronx,8.0,,598.0,
2025-08-31,Bronx,7.0,384.0,900.0,
2025-08-31,Bronx,6.0,1171.0,1785.0,
2025-08-31,Bronx,5.0,123.0,1095.0,
2025-08-31,Bronx,4.0,283.0,2053.0,
2025-08-31,Bronx,2.0,,782.0,
2025-08-31,Bronx,10.0,,514.0,
2025-08-31,Bronx,11.0,,,
2025-08-31,Bronx,12.0,355.0,1036.0,
2025-07-31,Brooklyn,2.0,,75.0,
2025-07-31,Brooklyn,1.0,516.0,,
2025-07-31,Bronx,12.0,323.0,1043.0,
2025-07-31,Bronx,11.0,,,
2025-07-31,Bronx,10.0,,520.0,
2025-07-31,Bronx,9.0,281.0,1470.0,
2025-07-31,Bronx,8.0,,614.0,
2025-07-31,Bronx,5.0,150.0,1095.0,
2025-07-31,Bronx,6.0,1181.0,1750.0,
2025-07-31,Bronx,7.0,406.0,906.0,
2025-07-31,Brooklyn,6.0,343.0,496.0,
2025-07-31,Brooklyn,7.0,310.0,357.0,
2025-07-31,Brooklyn,8.0,,550.0,
2025-07-31,Brooklyn,9.0,,348.0,
2025-07-31,Brooklyn,10.0,,,
2025-07-31,Brooklyn,11.0,,,
2025-07-31,Brooklyn,12.0,,132.0,
2025-07-31,Brooklyn,13.0,,371.0,
2025-07-31,Brooklyn,14.0,158.0,86.0,
2025-07-31,Brooklyn,15.0,461.0,185.0,
2025-07-31,Brooklyn,16.0,584.0,2180.0,
2025-07-31,Brooklyn,18.0,296.0,782.0,
2025-07-31,Manhattan,1.0,491.0,,
2025-07-31,Manhattan,2.0,318.0,,
2025-07-31,Manhattan,3.0,101.0,88.0,
2025-07-31,Manhattan,4.0,1143.0,363.0,
2025-07-31,Manhattan,5.0,2602.0,384.0,
2025-07-31,Manhattan,6.0,261.0,577.0,
2025-07-31,Manhattan,7.0,937.0,358.0,
2025-07-31,Manhattan,8.0,551.0,,
2025-07-31,Manhattan,9.0,,595.0,
2025-07-31,Manhattan,10.0,,611.0,
2025-07-31,Manhattan,11.0,,526.0,
2025-07-31,Manhattan,12.0,,,
2025-07-31,Queens,1.0,3775.0,646.0,
2025-07-31,Queens,2.0,903.0,236.0,
